risk_source,risk_threshold,eta_null,kappa,lambda_penalty,beta_base,beta_collapse,null_key_scale,null_value_scale,normalize_hidden,benign_collapse,benign_complex_collapse,direct_jailbreak_collapse,obfuscated_jailbreak_collapse,long_context_jailbreak_collapse,jailbreak_collapse,score,mean_m_null_benign_complex,mean_m_null_jailbreak
surface,0.1,20.0,8.0,0.0,1.0,4.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9998814382255526,0.9999999906774621
surface,0.1,20.0,8.0,0.1,1.0,2.5,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.998820772378098,0.9999979007982773
surface,0.1,20.0,8.0,0.1,1.0,4.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.99988143982463,0.9999999908533033
surface,0.1,20.0,8.0,0.25,1.0,2.5,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.998821002532352,0.9999979429557543
surface,0.1,20.0,8.0,0.25,1.0,4.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9998814421760223,0.9999999911108657
surface,0.1,20.0,18.0,0.0,1.0,2.5,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.8766552281607034,0.9999813823099227
surface,0.1,20.0,18.0,0.0,1.0,4.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.89818509864109,0.9999997337233566
surface,0.1,20.0,18.0,0.1,1.0,2.5,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.876658494129104,0.9999816214744243
surface,0.1,20.0,18.0,0.1,1.0,4.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.8981852785796324,0.9999997384376216
surface,0.1,20.0,18.0,0.25,1.0,2.5,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.8766633290366378,0.9999819744738677
surface,0.1,20.0,18.0,0.25,1.0,4.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.898185543728764,0.9999997453529886
surface,0.1,20.0,30.0,0.0,1.0,2.5,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.7678662471053297,0.9998106230548797
surface,0.1,20.0,30.0,0.0,1.0,4.0,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.7729204768674109,0.9999911413307768
surface,0.1,20.0,30.0,0.1,1.0,2.5,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.7679271447152073,0.9998129252128147
surface,0.1,20.0,30.0,0.1,1.0,4.0,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.7729343619714165,0.9999912863247521
surface,0.1,20.0,30.0,0.25,1.0,2.5,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.7680174530579663,0.9998163261704939
